"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220006","Total number of national feature films produced","AUT","Austria","2005","2005",30,,
"220006","Total number of national feature films produced","AUT","Austria","2006","2006",33,,
"220006","Total number of national feature films produced","AUT","Austria","2007","2007",32,,
"220006","Total number of national feature films produced","AUT","Austria","2008","2008",30,,
"220006","Total number of national feature films produced","AUT","Austria","2009","2009",35,,
"220006","Total number of national feature films produced","AUT","Austria","2010","2010",46,,
"220006","Total number of national feature films produced","AUT","Austria","2011","2011",54,,
"220006","Total number of national feature films produced","AUT","Austria","2012","2012",54,,
"220006","Total number of national feature films produced","AUT","Austria","2013","2013",46,,
"220006","Total number of national feature films produced","AUT","Austria","2014","2014",45,,
"220006","Total number of national feature films produced","AUT","Austria","2015","2015",40,,
"220006","Total number of national feature films produced","BEL","Belgium","2005","2005",46,,
"220006","Total number of national feature films produced","BEL","Belgium","2006","2006",69,,
"220006","Total number of national feature films produced","BEL","Belgium","2007","2007",37,,
"220006","Total number of national feature films produced","BEL","Belgium","2008","2008",38,,
"220006","Total number of national feature films produced","BEL","Belgium","2009","2009",47,,
"220006","Total number of national feature films produced","BEL","Belgium","2010","2010",46,,
"220006","Total number of national feature films produced","BEL","Belgium","2011","2011",42,,
"220006","Total number of national feature films produced","BEL","Belgium","2012","2012",55,"‡","UIS Estimation"
"220006","Total number of national feature films produced","BEL","Belgium","2013","2013",70,"‡","UIS Estimation"
"220006","Total number of national feature films produced","BEL","Belgium","2014","2014",73,"‡","UIS Estimation"
"220006","Total number of national feature films produced","BEL","Belgium","2015","2015",69,"‡","UIS Estimation"
"220006","Total number of national feature films produced","CZE","Czechia","2005","2005",31,,
"220006","Total number of national feature films produced","CZE","Czechia","2006","2006",45,,
"220006","Total number of national feature films produced","CZE","Czechia","2007","2007",30,,
"220006","Total number of national feature films produced","CZE","Czechia","2008","2008",39,,
"220006","Total number of national feature films produced","CZE","Czechia","2009","2009",45,,
"220006","Total number of national feature films produced","CZE","Czechia","2010","2010",37,,
"220006","Total number of national feature films produced","CZE","Czechia","2011","2011",45,,
"220006","Total number of national feature films produced","CZE","Czechia","2012","2012",46,,
"220006","Total number of national feature films produced","CZE","Czechia","2013","2013",45,,
"220006","Total number of national feature films produced","CZE","Czechia","2014","2014",61,,
"220006","Total number of national feature films produced","CZE","Czechia","2015","2015",56,,
"220006","Total number of national feature films produced","DNK","Denmark","2005","2005",31,,
"220006","Total number of national feature films produced","DNK","Denmark","2006","2006",33,,
"220006","Total number of national feature films produced","DNK","Denmark","2007","2007",29,,
"220006","Total number of national feature films produced","DNK","Denmark","2008","2008",34,,
"220006","Total number of national feature films produced","DNK","Denmark","2009","2009",37,,
"220006","Total number of national feature films produced","DNK","Denmark","2010","2010",49,,
